Setor,Etapa,Concluído (0/1),% Setor
OUVIDORIA,Lançamento dos cabos lógicos,1,64
OUVIDORIA,Lançamento do circuito elétrico,1,64
OUVIDORIA,Instalação das descidas,1,64
OUVIDORIA,Instalação das tomadas elétricas,1,64
OUVIDORIA,Instalação das tomadas lógicas,1,64
OUVIDORIA,Conectorização das tomadas lógicas,1,64
OUVIDORIA,Ativação dos pontos lógicos,1,64
OUVIDORIA,Ativação das tomadas elétricas,0,64
OUVIDORIA,Teste dos equipamentos,0,64
AGEPLANDI,Lançamento dos cabos lógicos,0,0
AGEPLANDI,Lançamento do circuito elétrico,0,0
AGEPLANDI,Instalação das descidas,0,0
AGEPLANDI,Instalação das tomadas elétricas,0,0
AGEPLANDI,Instalação das tomadas lógicas,0,0
AGEPLANDI,Conectorização das tomadas lógicas,0,0
AGEPLANDI,Ativação dos pontos lógicos,0,0
AGEPLANDI,Ativação das tomadas elétricas,0,0
AGEPLANDI,Teste dos equipamentos,0,0
GERSAT,Lançamento dos cabos lógicos,0,0
GERSAT,Lançamento do circuito elétrico,0,0
GERSAT,Instalação das descidas,0,0
GERSAT,Instalação das tomadas elétricas,0,0
GERSAT,Instalação das tomadas lógicas,0,0
GERSAT,Conectorização das tomadas lógicas,0,0
GERSAT,Ativação dos pontos lógicos,0,0
GERSAT,Ativação das tomadas elétricas,0,0
GERSAT,Teste dos equipamentos,0,0
SETAI,Lançamento dos cabos lógicos,0,0
SETAI,Lançamento do circuito elétrico,0,0
SETAI,Instalação das descidas,0,0
SETAI,Instalação das tomadas elétricas,0,0
SETAI,Instalação das tomadas lógicas,0,0
SETAI,Conectorização das tomadas lógicas,0,0
SETAI,Ativação dos pontos lógicos,0,0
SETAI,Ativação das tomadas elétricas,0,0
SETAI,Teste dos equipamentos,0,0
RENAVAM,Lançamento dos cabos lógicos,0,0
RENAVAM,Lançamento do circuito elétrico,0,0
RENAVAM,Instalação das descidas,0,0
RENAVAM,Instalação das tomadas elétricas,0,0
RENAVAM,Instalação das tomadas lógicas,0,0
RENAVAM,Conectorização das tomadas lógicas,0,0
RENAVAM,Ativação dos pontos lógicos,0,0
RENAVAM,Ativação das tomadas elétricas,0,0
RENAVAM,Teste dos equipamentos,0,0
COPROC,Lançamento dos cabos lógicos,0,0
COPROC,Lançamento do circuito elétrico,0,0
COPROC,Instalação das descidas,0,0
COPROC,Instalação das tomadas elétricas,0,0
COPROC,Instalação das tomadas lógicas,0,0
COPROC,Conectorização das tomadas lógicas,0,0
COPROC,Ativação dos pontos lógicos,0,0
COPROC,Ativação das tomadas elétricas,0,0
COPROC,Teste dos equipamentos,0,0
DIROP,Lançamento dos cabos lógicos,0,0
DIROP,Lançamento do circuito elétrico,0,0
DIROP,Instalação das descidas,0,0
DIROP,Instalação das tomadas elétricas,0,0
DIROP,Instalação das tomadas lógicas,0,0
DIROP,Conectorização das tomadas lógicas,0,0
DIROP,Ativação dos pontos lógicos,0,0
DIROP,Ativação das tomadas elétricas,0,0
DIROP,Teste dos equipamentos,0,0
CAEX,Lançamento dos cabos lógicos,0,0
CAEX,Lançamento do circuito elétrico,0,0
CAEX,Instalação das descidas,0,0
CAEX,Instalação das tomadas elétricas,0,0
CAEX,Instalação das tomadas lógicas,0,0
CAEX,Conectorização das tomadas lógicas,0,0
CAEX,Ativação dos pontos lógicos,0,0
